,nsites,elements,formula_pretty,volume,density,symmetry,symmetry_class,Oxidation,e0,CN_species1,CN_species2,CN_species3,CN1,CN2,CN3,CN_all
1,5,"[Element O, Element W, Element Zn]",ZnWO3,65.05448863678916,7.587340865693257,Orthorhombic,4,2.0,9665.776,O,-,-,2,0,0,2
1,14,"[Element Ba, Element Bi, Element O, Element Zn]",BaZn(BiO2)4,252.75360728874136,7.664668137900026,Trigonal,7,2.0,9667.328,O,-,-,6,0,0,6
1,24,"[Element Ba, Element Ge, Element O, Element S, Element Zn]",Ba2ZnGe2S6O,620.0752685157245,3.7155803238867056,Tetragonal,5,2.0,9665.172,S,-,-,4,0,0,4
1,28,"[Element Mn, Element O, Element Zn]",Mn2ZnO4,328.07206098773725,4.844524061511833,Monoclinic,3,2.0,9668.923,O,-,-,5,0,0,5
1,20,"[Element O, Element Si, Element W, Element Zn]",ZnSi2WO6,247.35340161804982,5.389597225151848,Monoclinic,3,2.0,9663.846,O,-,-,6,0,0,6
1,14,"[Element O, Element W, Element Zn]",ZnW4O9,186.24410785299972,8.423444153246406,Tetragonal,5,2.0,9664.059,O,-,-,12,0,0,12
1,7,"[Element Ca, Element O, Element P, Element Zn]",CaZn2(PO)2,122.5214159560117,3.5894216126609364,Trigonal,7,2.0,9665.022,O,-,-,1,0,0,1
1,80,"[Element Co, Element O, Element Si, Element Zn]",Zn3Co2(SiO4)3,783.8479950531238,5.00243460421012,Cubic,1,2.0,9666.702,O,-,-,8,0,0,8
1,16,"[Element Cr, Element O, Element Zn]",ZnCrO2,185.65028833127087,5.3453406597584605,Triclinic,6,2.0,9667.453,O,-,-,3,0,0,3
1,16,"[Element Fe, Element O, Element Zn]",ZnFe2O5,196.99106854153106,4.334388845023541,Orthorhombic,4,2.0,9669.439,O,-,-,8,0,0,8
1,27,"[Element H, Element O, Element S, Element Zn]",ZnH12(SO6)2,299.79481434934365,1.8479332017252283,Triclinic,6,2.0,9668.982,O,-,-,6,0,0,6
1,24,"[Element Co, Element O, Element Zn]",Zn3Co2O7,230.91188027663506,6.128205561960166,Orthorhombic,4,2.0,9670.802,O,-,-,4,0,0,4
1,16,"[Element O, Element W, Element Zn]",ZnW2O5,238.34974841432367,7.14915236576133,Orthorhombic,4,2.0,9669.97,O,-,-,4,0,0,4
1,52,"[Element As, Element O, Element Ti, Element Zn]",Ti3Zn3(AsO4)4,673.2734156748049,4.4172861909807875,Monoclinic,3,2.0,9664.198,O,-,-,4,0,0,4
1,28,"[Element O, Element Sn, Element Zn]",Zn(SnO2)2,386.0918595557137,6.310725027058649,Orthorhombic,4,2.0,9664.37,O,Sn,-,8,1,0,9
1,26,"[Element Nb, Element O, Element Zn]",Nb2Zn3O8,305.3580442820992,5.547146890045022,Monoclinic,3,2.0,9665.624,O,-,-,5,0,0,5
1,24,"[Element O, Element W, Element Zn]",Zn3W2O7,277.2715349859666,8.09576783063662,Orthorhombic,4,2.0,9666.412,O,-,-,4,0,0,4
